filename,anomaly_score,label,domain
section_00_source_test_anormaly_0001_noAttribute_2026-05-26_16-10-00.wav,515537.5625000000,normal,source
section_00_source_test_anormaly_0002_noAttribute_2026-05-26_16-20-00.wav,226413.2031250000,normal,source
section_00_source_test_anormaly_0003_noAttribute_2026-05-26_16-27-00.wav,457463.7187500000,normal,source
section_00_source_test_anormaly_0004_noAttribute_2026-05-26_16-42-00.wav,1195338.0000000000,normal,source
section_00_source_test_anormaly_0005_noAttribute_2026-05-26_16-43-00.wav,965443.8750000000,normal,source
section_00_source_test_anormaly_0006_noAttribute_2026-05-26_16-50-00.wav,601318.0000000000,normal,source
section_00_source_test_anormaly_0007_noAttribute_2026-05-26_16-53-00.wav,1135827.5000000000,normal,source
section_00_source_test_anormaly_0008_noAttribute_2026-05-26_16-59-00.wav,1818889.7500000000,normal,source
section_00_source_test_anormaly_0009_noAttribute_2026-05-26_17-01-00.wav,543042.1250000000,normal,source
section_00_source_test_anormaly_0010_noAttribute_2026-05-26_17-11-00.wav,545677.0000000000,normal,source
section_00_source_test_anormaly_0011_noAttribute_2026-05-26_17-14-00.wav,466692.1250000000,normal,source
section_00_source_test_anormaly_0012_noAttribute_2026-05-26_17-16-00.wav,497667.6562500000,normal,source
section_00_source_test_anormaly_0013_noAttribute_2026-05-26_17-19-00.wav,358922.1250000000,normal,source
section_00_source_test_anormaly_0014_noAttribute_2026-05-26_17-22-00.wav,768590.1875000000,normal,source
section_00_source_test_anormaly_0015_noAttribute_2026-05-26_17-24-00.wav,597538.5000000000,normal,source
section_00_source_test_anormaly_0016_noAttribute_2026-05-26_17-26-00.wav,504569.2812500000,normal,source
section_00_source_test_anormaly_0017_noAttribute_2026-05-26_17-29-00.wav,585763.6250000000,normal,source
section_00_source_test_anormaly_0018_noAttribute_2026-05-26_17-30-00.wav,750829.9375000000,normal,source
section_00_source_test_anormaly_0019_noAttribute_2026-05-26_17-40-00.wav,739114.6250000000,normal,source
section_00_source_test_anormaly_0020_noAttribute_2026-05-26_17-48-00.wav,647700.3125000000,normal,source
section_00_source_test_normal_0008_noAttribute_2026-05-27_20-02-00.wav,101495.2109375000,normal,source
section_00_source_test_normal_0009_noAttribute_2026-05-27_20-10-00.wav,86041.1562500000,normal,source
section_00_source_test_normal_0010_noAttribute_2026-05-27_20-11-00.wav,194625.8906250000,normal,source
section_00_source_test_normal_0011_noAttribute_2026-05-27_20-15-00.wav,76933.2734375000,normal,source
section_00_source_test_normal_0012_noAttribute_2026-05-27_20-16-00.wav,149527.1406250000,normal,source
section_00_source_test_normal_0013_noAttribute_2026-05-27_20-18-00.wav,66257.3203125000,normal,source
section_00_source_test_normal_0014_noAttribute_2026-05-27_20-19-00.wav,115538.2656250000,normal,source
section_00_source_test_normal_0015_noAttribute_2026-05-27_20-23-00.wav,280357.0625000000,normal,source
section_00_source_test_normal_0016_noAttribute_2026-05-27_20-29-00.wav,167957.3593750000,normal,source
section_00_source_test_normal_0017_noAttribute_2026-05-27_20-30-00.wav,64942.0117187500,normal,source
section_00_source_test_normal_0018_noAttribute_2026-05-27_20-31-00.wav,79995.2031250000,normal,source
section_00_source_test_normal_0019_noAttribute_2026-05-27_20-32-00.wav,63136.6640625000,normal,source
section_00_source_test_normal_0020_noAttribute_2026-05-27_20-33-00.wav,65826.6093750000,normal,source
section_00_source_test_normal_0021_noAttribute_2026-05-27_20-37-00.wav,199671.2343750000,normal,source
section_00_source_test_normal_0022_noAttribute_2026-05-27_20-38-00.wav,109292.8593750000,normal,source
section_00_source_test_normal_0023_noAttribute_2026-05-27_20-39-00.wav,86693.3906250000,normal,source
section_00_source_test_normal_0024_noAttribute_2026-05-27_20-46-00.wav,67164.1796875000,normal,source
section_00_source_test_normal_0026_noAttribute_2026-05-27_20-53-00.wav,218722.2968750000,normal,source
section_00_source_test_normal_0027_noAttribute_2026-05-27_20-56-00.wav,70004.1484375000,normal,source
